name,image,price,short_description,stock,sku,categories,tags,description,additional_information,related_products
Charizard,https://scrapeme.live/wp-content/uploads/2018/08/006.png,156.0,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",31 in stock,SKU: 8840,"Flame,Pokemon","Blaze,Charizard,Flame","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","[{'info': 'Weight', 'value': '199.5 kg'}, {'info': 'Dimensions', 'value': '5 x 5 x 5 cm'}]","[{'name': 'Beedrill', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png', 'price': '£ 168.00', 'url': 'https://scrapeme.live/shop/Beedrill/'}, {'name': 'Raticate', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png', 'price': '£ 60.00', 'url': 'https://scrapeme.live/shop/Raticate/'}, {'name': 'Blastoise', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png', 'price': '£ 76.00', 'url': 'https://scrapeme.live/shop/Blastoise/'}]"
Charmeleon,https://scrapeme.live/wp-content/uploads/2018/08/005.png,165.0,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",284 in stock,SKU: 6565,"Flame,Pokemon","Blaze,charmeleon,Flame","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","[{'info': 'Weight', 'value': '41.9 kg'}, {'info': 'Dimensions', 'value': '3 x 3 x 3 cm'}]","[{'name': 'Metapod', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Metapod/'}, {'name': 'Rattata', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png', 'price': '£ 128.00', 'url': 'https://scrapeme.live/shop/Rattata/'}, {'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}]"
Charmander,https://scrapeme.live/wp-content/uploads/2018/08/004.png,48.0,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",206 in stock,SKU: 9086,"Lizard,Pokemon","Blaze,charmander,Lizard","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","[{'info': 'Weight', 'value': '18.7 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Venusaur', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png', 'price': '£ 105.00', 'url': 'https://scrapeme.live/shop/Venusaur/'}, {'name': 'Butterfree', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png', 'price': '£ 162.00', 'url': 'https://scrapeme.live/shop/Butterfree/'}, {'name': 'Rattata', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png', 'price': '£ 128.00', 'url': 'https://scrapeme.live/shop/Rattata/'}]"
Venusaur,https://scrapeme.live/wp-content/uploads/2018/08/003.png,105.0,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,30 in stock,SKU: 7036,"Pokemon,Seed","Overgrow,Seed,venusaur",There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,"[{'info': 'Weight', 'value': '220.5 kg'}, {'info': 'Dimensions', 'value': '6 x 6 x 6 cm'}]","[{'name': 'Caterpie', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png', 'price': '£ 73.00', 'url': 'https://scrapeme.live/shop/Caterpie/'}, {'name': 'Butterfree', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png', 'price': '£ 162.00', 'url': 'https://scrapeme.live/shop/Butterfree/'}, {'name': 'Blastoise', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png', 'price': '£ 76.00', 'url': 'https://scrapeme.live/shop/Blastoise/'}]"
Ivysaur,https://scrapeme.live/wp-content/uploads/2018/08/002.png,87.0,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",142 in stock,SKU: 7227,"Pokemon,Seed","ivysaur,Overgrow,Seed","There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.","[{'info': 'Weight', 'value': '28.7 kg'}, {'info': 'Dimensions', 'value': '3 x 3 x 3 cm'}]","[{'name': 'Weedle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png', 'price': '£ 25.00', 'url': 'https://scrapeme.live/shop/Weedle/'}, {'name': 'Charmander', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png', 'price': '£ 48.00', 'url': 'https://scrapeme.live/shop/Charmander/'}, {'name': 'Fearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png', 'price': '£ 95.00', 'url': 'https://scrapeme.live/shop/Fearow/'}]"
Bulbasaur,https://scrapeme.live/wp-content/uploads/2018/08/001.png,63.0,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",45 in stock,SKU: 4391,"Pokemon,Seed","bulbasaur,Overgrow,Seed","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.","[{'info': 'Weight', 'value': '15.2 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Rattata', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png', 'price': '£ 128.00', 'url': 'https://scrapeme.live/shop/Rattata/'}, {'name': 'Arbok', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png', 'price': '£ 182.00', 'url': 'https://scrapeme.live/shop/Arbok/'}, {'name': 'Charizard', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png', 'price': '£ 156.00', 'url': 'https://scrapeme.live/shop/Charizard/'}]"
Nidorino,https://scrapeme.live/wp-content/uploads/2018/08/033.png,179.0,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",279 in stock,SKU: 9646,"Poison Pin,Pokemon","nidorino,Poison Pin,Poison Point","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","[{'info': 'Weight', 'value': '43 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Ekans', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png', 'price': '£ 55.00', 'url': 'https://scrapeme.live/shop/Ekans/'}, {'name': 'Metapod', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Metapod/'}, {'name': 'Pidgey', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png', 'price': '£ 159.00', 'url': 'https://scrapeme.live/shop/Pidgey/'}]"
Nidorina,https://scrapeme.live/wp-content/uploads/2018/08/030.png,28.0,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",58 in stock,SKU: 9779,"Poison Pin,Pokemon","nidorina,Poison Pin,Poison Point","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","[{'info': 'Weight', 'value': '44.1 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Metapod', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Metapod/'}, {'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}, {'name': 'Pidgeot', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png', 'price': '£ 185.00', 'url': 'https://scrapeme.live/shop/Pidgeot/'}]"
Sandslash,https://scrapeme.live/wp-content/uploads/2018/08/028.png,155.0,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",236 in stock,SKU: 4747,"Mouse,Pokemon","Mouse,Sand Veil,sandslash","Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","[{'info': 'Weight', 'value': '65 kg'}, {'info': 'Dimensions', 'value': '3 x 3 x 3 cm'}]","[{'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}, {'name': 'Pidgeot', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png', 'price': '£ 185.00', 'url': 'https://scrapeme.live/shop/Pidgeot/'}, {'name': 'Wartortle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png', 'price': '£ 123.00', 'url': 'https://scrapeme.live/shop/Wartortle/'}]"
Nidoqueen,https://scrapeme.live/wp-content/uploads/2018/08/031.png,106.0,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,153 in stock,SKU: 6614,"Drill,Pokemon","Drill,nidoqueen,Poison Point",Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"[{'info': 'Weight', 'value': '132.3 kg'}, {'info': 'Dimensions', 'value': '4 x 4 x 4 cm'}]","[{'name': 'Fearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png', 'price': '£ 95.00', 'url': 'https://scrapeme.live/shop/Fearow/'}, {'name': 'Spearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png', 'price': '£ 133.00', 'url': 'https://scrapeme.live/shop/Spearow/'}, {'name': 'Squirtle', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png', 'price': '£ 130.00', 'url': 'https://scrapeme.live/shop/Squirtle/'}]"
Nidoking,https://scrapeme.live/wp-content/uploads/2018/08/034.png,31.0,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",178 in stock,SKU: 1159,"Drill,Pokemon","Drill,nidoking,Poison Point","Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","[{'info': 'Weight', 'value': '136.7 kg'}, {'info': 'Dimensions', 'value': '4 x 4 x 4 cm'}]","[{'name': 'Beedrill', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png', 'price': '£ 168.00', 'url': 'https://scrapeme.live/shop/Beedrill/'}, {'name': 'Arbok', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png', 'price': '£ 182.00', 'url': 'https://scrapeme.live/shop/Arbok/'}, {'name': 'Fearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png', 'price': '£ 95.00', 'url': 'https://scrapeme.live/shop/Fearow/'}]"
Sandshrew,https://scrapeme.live/wp-content/uploads/2018/08/027.png,82.0,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",100 in stock,SKU: 9134,"Mouse,Pokemon","Mouse,Sand Veil,sandshrew","Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","[{'info': 'Weight', 'value': '26.5 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Charizard', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png', 'price': '£ 156.00', 'url': 'https://scrapeme.live/shop/Charizard/'}, {'name': 'Rattata', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png', 'price': '£ 128.00', 'url': 'https://scrapeme.live/shop/Rattata/'}, {'name': 'Pidgeot', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png', 'price': '£ 185.00', 'url': 'https://scrapeme.live/shop/Pidgeot/'}]"
Raichu,https://scrapeme.live/wp-content/uploads/2018/08/026.png,140.0,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,215 in stock,SKU: 3488,"Mouse,Pokemon","Mouse,raichu,Static",This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"[{'info': 'Weight', 'value': '66.1 kg'}, {'info': 'Dimensions', 'value': '2 x 2 x 2 cm'}]","[{'name': 'Butterfree', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png', 'price': '£ 162.00', 'url': 'https://scrapeme.live/shop/Butterfree/'}, {'name': 'Spearow', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png', 'price': '£ 133.00', 'url': 'https://scrapeme.live/shop/Spearow/'}, {'name': 'Kakuna', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png', 'price': '£ 148.00', 'url': 'https://scrapeme.live/shop/Kakuna/'}]"
Pikachu,https://scrapeme.live/wp-content/uploads/2018/08/025.png,37.0,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,254 in stock,SKU: 1333,"Mouse,Pokemon","Mouse,pikachu,Static",This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"[{'info': 'Weight', 'value': '13.2 kg'}, {'info': 'Dimensions', 'value': '1 x 1 x 1 cm'}]","[{'name': 'Arbok', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png', 'price': '£ 182.00', 'url': 'https://scrapeme.live/shop/Arbok/'}, {'name': 'Butterfree', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png', 'price': '£ 162.00', 'url': 'https://scrapeme.live/shop/Butterfree/'}, {'name': 'Ivysaur', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png', 'price': '£ 87.00', 'url': 'https://scrapeme.live/shop/Ivysaur/'}]"
Arbok,https://scrapeme.live/wp-content/uploads/2018/08/024.png,182.0,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",248 in stock,SKU: 9230,"Cobra,Pokemon","arbok,Cobra,Shed Skin","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","[{'info': 'Weight', 'value': '143.3 kg'}, {'info': 'Dimensions', 'value': '11 x 11 x 11 cm'}]","[{'name': 'Charmeleon', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png', 'price': '£ 165.00', 'url': 'https://scrapeme.live/shop/Charmeleon/'}, {'name': 'Caterpie', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png', 'price': '£ 73.00', 'url': 'https://scrapeme.live/shop/Caterpie/'}, {'name': 'Beedrill', 'image': 'https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png', 'price': '£ 168.00', 'url': 'https://scrapeme.live/shop/Beedrill/'}]"
